Token,Average Similarity
αἰσθητός,0.01715761635077383
πρίν,-0.012193634537665258
ἀποδείκνυμι,-0.00773606757049173
ποιός,0.0020469308456876126
καταλαμβάνω,0.057220662903121854
πλήν,-0.02876136870418356
παραδίδωμι,0.04656630298553145
ὄψις,0.06519104555675231
αὐρήλιος,0.07413092712445304
ὥρα,0.0314761217196304
μεταβολή,0.03852726762839034
χράομαι,0.02020109558914247
μάχη,0.050790875287912686
τύχη,0.02079616758017525
θεωρέω,0.014898159779545134
ἐφεξῆς,-0.02301980429343064
ἐντεῦθεν,0.0167130203385065
αὖ,0.021242379264812893
θυγάτηρ,0.052587252377813434
ὅμως,-0.014396534197051399
στόμα,0.09059279607263121
συμπέρασμα,0.004817320334076379
ἥκω,0.03555626336127063
τάσσω,0.03258374555521369
προσήκω,0.015385941247989633
ψυχρός,0.023069802804888767
διάνοια,0.07190887037749955
γραφή,0.03273413715160922
ἀδικέω,0.007661760188578004
λύω,0.025048053194881122
βασιλικός,0.08297473119319458
βραχύς,0.04514271669312033
κωλύω,0.0022742762889483414
προφήτης,0.0612790399089663
ἰησοῦς,0.023786966449146883
πίνω,0.03402756262863078
παλαιός,0.059799010548125524
ἄριστος,0.03614914549423889
πέρας,0.029248076908411656
νικάω,0.03935221454388472
πλάτων,0.0278249835020068
ἐργάζομαι,0.028091688242042962
σωκράτης,-0.008186090595464938
διάφορος,0.0456683517180167
μέλας,0.06261935703269843
εἰκός,-0.0009166143009947715
χωρίον,0.045907231987107534
πέντε,0.022028897866125694
ἱερός,0.07326081753684849
διάθεσις,0.06103732814737934
τοι,-0.01820535165916483
στρατιώτης,0.08826536989594459
τρέφω,0.04286773396068856
πλέως,0.008527130554605565
σωτήρ,0.0226336004295922
ἔξωθεν,0.03888678380539895
ἐάω,-0.02721765046281472
κεῖμαι,0.010925548311263987
πρόκειμαι,-0.03436827089377304
ἔνθα,0.03329009088101705
ὑγρός,0.038275902559101745
κατέχω,0.05852342612839924
μέτρον,0.022192176570952005
χαλκός,0.0790454040464341
ἀφικνέομαι,0.06388616655478051
καταλείπω,0.033754149504458056
καῖσαρ,0.03376047187541764
λογικός,0.033707943802159766
ἀπόλλυμι,0.031102891983838324
διαίρεσις,0.051165120368933906
ἀφαιρέω,0.021470189197128484
χρῶμα,0.05232107697308389
πότερος,-0.012244721230705054
ἀπέχω,0.01780965427783875
τέκνον,0.05031335303144677
καθαρός,0.06819498628337277
κρίσις,0.05488453803155138
παραλαμβάνω,0.03128555392374323
ἀγνοέω,-0.030956576618361244
ἰατρός,0.00992719634789196
δεξιός,0.0473271460414083
σοφία,0.0492977662854994
ὡσαύτως,0.037045063538125395
πόνος,0.09835615779058342
ἡρακλείδης,0.06695301421042266
τελευτάω,0.042185869694332113
φάος,0.05061376842512689
ἀναγκαῖον,-0.016549748786590143
ἕξις,0.04180221598714621
ἔμπροσθεν,0.0018292069854006056
μακρός,0.0633974649151793
βασίλεια,0.05182607243433587
πληρόω,0.0544080816806909
αἰτέω,0.007150480059087853
οὐκοῦν,-0.05318958670291923
μετέχω,-0.002385454427901172
γαστήρ,0.0766632825434182
ῥᾴδιος,0.04718502539470688
μηδείς,0.015239521261531244
παῦλος,0.07165825303153087
ἡδύς,0.021987414072447774
καρπός,0.06995533538990767
πως,0.01972203243096418
ποιότης,0.03205977478563509
ὁμοῦ,0.07203998318116073
ἔσχατος,0.046965163468560264
πειράω,0.029158013549724377
κατασκευάζω,0.06410656498982892
ἰσχυρός,0.06774768139209643
πέρσης,0.0691676322731793
ἅπτω,0.007417520971214972
ῥῆμα,0.012616413345878097
ἀφίημι,0.040493758104089804
νόσημα,0.010247350907294908
ἐλπίς,0.04687899162309283
δῆμος,0.07814537931613733
κίνδυνος,0.07137440072859529
ὄρος,0.10204193220165633
λέξις,0.019954940456125503
χαλκόω,0.09399040779092153
χρυσός,0.05564750182558133
χυμός,0.03533660264004132
ἁμαρτία,0.07019509512271459
βάλλω,0.10110078676703707
θυμός,0.08340032371114567
μιμνήσκω,-0.03549486565067867
δοῦλος,0.0399925631862434
ὀβολός,0.08595989112182596
δικαιοσύνη,0.04179434812578309
αἴγυπτος,0.0633189756090089
φθείρω,0.03942045815307179
ἐρωτάω,-0.02170885701046107
πονηρός,0.06489556069109484
ἐχθρός,0.06084199684635303
πρόσωπον,0.08120336809006508
ἀθήναιος,0.0644633623345046
μοῖρα,0.03958755076078844
ἀπολλώνιος,0.08061131751676551
τεῖχος,0.0895256273069707
αὐξάνω,0.03320977578123722
σελήνη,0.05223143985150856
θαυμάζω,0.0033333103512137047
ἐπιφέρω,0.03712542672973262
ψευδής,0.031013715820870504
ἀκολουθέω,0.016501926468023984
σωτηρία,0.057087796975991166
ξύλον,0.06185761865448831
βασιλεύω,0.0370401483100344
ὧδε,-0.02353361720740551
χρήσιμος,0.02822757249422758
ἄγγελος,0.04678114716909835
φάσκω,0.01165236552606685
ἀπόφασις,0.029457238393154325
ἀποστέλλω,0.06614355819205443
κοιλία,0.07076252584703212
τιμάω,0.039886236771288774
μάρκος,0.06239589800845632
μαρτυρέω,0.011785150734962658
κλῆρος,0.06402557172215348
σκοπέω,-0.03566760233916063
θέσις,0.03535245281109667
πίπτω,0.08947528093702307
φιλόσοφος,0.03405971291885046
διέρχομαι,0.017011872518581227
φρονέω,0.03463181442197066
λανθάνω,0.031216055106000274
ἀφίστημι,0.03947002640016927
ἱερόν,0.07383844180426398
νεκρός,0.033234871036668105
ὅπου,-0.04662856032627602
ῥώμη,0.08221826115056877
ὀξύς,0.07194012861354487
ἀνάγω,0.06865284520796679
βελτίων,-0.01162415154856713
ἐκτός,0.05846076749640721
λείπω,0.0300688774060087
βλέπω,0.04710701570695332
ἄπειρος,0.03279137769169471
πάλαι,0.017639153310852456
χωρέω,0.048768536408051615
μνημονεύω,-0.021783182536377066
αἰών,0.03574587079659077
εὔχομαι,0.005557432645709037
εἰσέρχομαι,0.07162250343975413
κομίζω,0.05315194444554631
ὑπόθεσις,0.032711304350335056
βουλή,0.03630653976269675
ἐντός,0.0545587915427223
ἐπιστολή,0.041180202811353275
μῆκος,0.04342954413889792
παύω,0.02968703061922674
ἀπορία,0.054489666144501375
χαλεπός,0.05099959644622235
εἰρήνη,0.04404498163766618
φόβος,0.11550706334870768
λαλέω,0.025662088495642183
ἱππεύς,0.07261690793344794
γνῶσις,0.05629453491662551
σοφός,0.035820060623113874
ἐξέρχομαι,0.05254876982621711
πρόσθεν,0.00642280413442995
τοιόσδε,-0.005340365503706097
νομός,0.046407673795748595
ἄτοπος,0.012020853807966494
ἰωάννης,0.0502548242296448
δράω,0.017605908710863826
ἐμβάλλω,0.07622662804732074
ἀποκρίνω,-0.00831383350845699
ἐνεργέω,0.0389751703627099
ἐσθίω,0.017549136339529137
ψεῦδος,0.03870893286988717
σφόδρα,0.054791186749633
μαθητής,0.048793131921744747
ὁρμάω,0.07549286386233339
μερίς,0.027105443856057516
ποιητικός,0.03915324606573039
στοιχεῖον,0.001614584901323428
λαμπρός,0.075254505825213
διαφθείρω,0.070974756909487
παράδειγμα,0.028695932954638566
ἀμείνων,0.005682393428023818
γωνία,0.055845074708250154
ἵημι,0.050376306577282114
οἰκέω,0.030305228746117883
ἀρτηρία,0.047582327371201855
ἀνίστημι,0.0555698905004756
ἄλογος,0.04481211443718192
ποιητής,0.058222349343785965
